num_author,name_author,field,continent,university,h_index,h_rank,i10_index,i10_rank,Euclidean_index,Euclidean_rank,Total_Citation,Total_Citation_rank,Total_Publication,Total_Publication_rank,ABC,ABC_rank,ABC_A,ABC_A_rank,DBC,DBC_rank,CRBC,CRBC_rank,CEBC,CEBC_rank,TCEBC,TCEBC_rank,ACES,ACES_rank,ABC+CES,ABC+CES_rank,ABC*CES,ABC*CES_rank
202,Peter Phillips,econometrics,Oceania,Auckland,69,18,219,5,15206.001117979704,8,43696.0,8,364,5,22,67,124,4,193.0,5,22,51,219,6,136.5,4,120078.53879483869,42,14815.013452302408,7,325446.295950653,4
203,Stephen Poletti,multiple-field,Oceania,Auckland,11,1625,13,1510,84.38601779915912,2663,325.0,2201,31,1232,0,3283,1,2917,15.5,1343,0,3203,13,1535,6.5,1818,42.19300889957956,2840,84.38601779915912,2507,0.0,3261
204,Lingli Qi,multiple-field,Oceania,Auckland,8,2197,7,2254,114.01315713548152,2369,253.0,2416,18,1994,0,3283,0,3965,9.0,2114,0,3203,7,2299,3.5,2589,57.00657856774076,2593,114.01315713548152,2188,0.0,3261
205,Yun So,labor,Oceania,Auckland,0,4667,0,4385,0.0,4667,0.0,4667,1,4577,0,3283,0,3965,0.5,4588,0,3203,0,4408,0.0,4504,0.0,4667,0.0,4669,0.0,3261
206,Sam Stemper,labor,Oceania,Auckland,1,4388,0,4385,2.0,4497,2.0,4502,1,4577,0,3283,0,3965,0.5,4588,0,3203,0,4408,0.0,4504,1.0,4501,2.0,4473,0.0,3261
207,Asha Sundaram,i_trade,Oceania,Auckland,8,2197,8,2100,70.7248188403477,2829,228.0,2507,21,1766,0,3283,3,2072,10.5,1890,0,3203,8,2146,5.0,2147,35.36240942017385,2984,70.7248188403477,2683,0.0,3261
208,Le Wen,multiple-field,Oceania,Auckland,20,726,35,527,498.5940232293203,929,1486.0,956,58,546,0,3283,0,3965,29.0,616,0,3203,35,538,17.5,716,249.29701161466016,1442,498.5940232293203,748,0.0,3261
209,Sherry Wu,macro,Oceania,Auckland,1,4388,0,4385,1.0,4570,1.0,4570,2,4322,0,3283,0,3965,1.0,4350,0,3203,0,4408,0.0,4504,0.5,4572,1.0,4561,0.0,3261
210,Haikun Zhan,political_econ,Oceania,Auckland,1,4388,0,4385,1.0,4570,1.0,4570,1,4577,0,3283,0,3965,0.5,4588,0,3203,0,4408,0.0,4504,0.5,4572,1.0,4561,0.0,3261
211,Haiping Zhang,i_finance,Oceania,Auckland,3,3600,1,3809,31.0322412983658,3508,47.0,3604,6,3475,0,3283,1,2917,3.0,3545,0,3203,1,3860,0.5,4086,15.5161206491829,3576,31.0322412983658,3398,0.0,3261
212,Matthew Backus,multiple-field,North America,Berkeley,7,2425,6,2423,132.23842104320514,2220,283.0,2313,10,2874,4,749,6,1392,7.0,2517,3,816,7,2299,6.0,1923,510.76626240823657,1079,105.27191120937731,2273,405.08764483750923,1036
213,Nano Barahona,i_organization,North America,Berkeley,2,3967,2,3404,55.31726674375732,3048,78.0,3285,4,3855,3,924,3,2072,3.5,3382,2,1039,3,3149,3.0,2752,155.76888838089434,1783,3.0,4407,0.0,3261
214,Sydnee Caldwell,labor,North America,Berkeley,3,3600,1,3809,55.47972602672079,3047,72.0,3336,3,4085,1,1576,1,2917,2.0,3907,0,3203,2,3459,1.5,3437,36.37243138634199,2963,55.74486277268398,2907,54.74486277268398,1564
215,Stefano Dellavigna,multiple-field,North America,Berkeley,27,420,32,583,2219.165608962071,181,7864.0,200,39,924,20,83,25,268,29.5,601,19,73,33,579,27.0,375,66910.70534247444,75,1704.755175092215,180,33695.1035018443,84
216,J.Bradford Delong,multiple-field,North America,Berkeley,15,1141,17,1215,1497.0878397742733,303,2670.0,602,45,770,2,1169,5,1568,23.5,827,2,1039,17,1241,10.0,1294,1106.6518468919526,817,1487.3104052688784,224,2970.620810537757,478
217,Federico Echenique,micro_theory,North America,Berkeley,21,669,38,469,293.79925119033237,1408,1514.0,943,85,272,13,186,37,116,49.0,234,12,173,39,464,32.5,264,7312.160568548074,359,185.67020588393356,1686,2244.7126764911363,552
218,Aaron Edlin,multiple-field,North America,Berkeley,19,797,22,952,394.99746834631736,1135,1463.0,975,41,868,8,386,13,700,24.5,776,6,456,24,876,16.5,766,2650.2900756780377,571,297.34926991440636,1201,2314.794159315251,537
219,Barry Eichengreen,multiple-field,North America,Berkeley,49,85,185,15,1295.039381640574,354,10789.0,135,375,4,5,627,22,327,190.0,6,4,656,186,15,96.5,19,1791.9871772333486,674,1287.0113104025252,275,6410.056552012626,298
220,Haluk Ergin,micro_theory,North America,Berkeley,11,1625,11,1709,348.02586110805044,1253,914.0,1345,12,2609,6,525,9,991,9.0,2114,6,456,11,1737,8.5,1487,2525.1083997673986,582,234.70723643995177,1452,1372.2434186397106,679
221,Ben Faber,multiple-field,North America,Berkeley,5,2944,4,2824,717.9679658592019,671,980.0,1294,5,3656,5,627,5,1568,5.0,2983,4,656,5,2654,5.0,2147,3165.2218777791786,533,5.0,4288,0.0,3261
